,State,Year,Quarter,Brands,User_Count,User_Percentage
477,ladakh,2021,2,Realme,4715,6.282645773
478,ladakh,2021,2,Apple,1823,2.429112035
479,ladakh,2021,2,OnePlus,1741,2.31984863
480,ladakh,2021,2,Motorola,922,1.228547063
481,ladakh,2021,2,Huawei,894,1.191237608
482,ladakh,2021,2,Lenovo,490,0.652915467
483,ladakh,2021,2,Others,2610,3.477774224
484,ladakh,2021,4,Xiaomi,23462,26.95015909
485,ladakh,2021,4,Vivo,19473,22.36810366
486,ladakh,2021,4,Samsung,14073,16.16527103
487,ladakh,2021,4,Oppo,12900,14.81787794
488,ladakh,2021,4,Realme,6879,7.901719563
489,ladakh,2021,4,OnePlus,2678,3.076145514
490,ladakh,2021,4,Apple,2358,2.708570247
491,ladakh,2021,4,Huawei,958,1.100428455
492,ladakh,2021,4,Motorola,912,1.04758951
493,ladakh,2021,4,Lenovo,449,0.515754046
494,ladakh,2021,4,Others,2915,3.348380946
495,ladakh,2021,3,Xiaomi,22384,27.56310799
496,ladakh,2021,3,Vivo,18124,22.31744859
497,ladakh,2021,3,Samsung,13661,16.82181997
498,ladakh,2021,3,Oppo,12095,14.89348602
499,ladakh,2021,3,Realme,5579,6.869843615
500,ladakh,2021,3,OnePlus,2176,2.679472971
501,ladakh,2021,3,Apple,2004,2.467676395
502,ladakh,2021,3,Huawei,1013,1.247383327
503,ladakh,2021,3,Motorola,910,1.120551656
504,ladakh,2021,3,Lenovo,476,0.586134712
505,ladakh,2021,3,Others,2788,3.433074744
506,ladakh,2018,1,Xiaomi,2316,26.36612022
507,ladakh,2018,1,Samsung,1720,19.58105647
508,ladakh,2018,1,Vivo,1570,17.87340619
509,ladakh,2018,1,Oppo,1138,12.95537341
510,ladakh,2018,1,Realme,429,4.883879781
511,ladakh,2018,1,Apple,259,2.948542805
512,ladakh,2018,1,OnePlus,233,2.652550091
513,ladakh,2018,1,Motorola,161,1.83287796
514,ladakh,2018,1,Lenovo,159,1.81010929
515,ladakh,2018,1,Micromax,117,1.331967213
516,ladakh,2018,1,Others,682,7.764116576
517,ladakh,2018,2,Xiaomi,3442,26.64499148
518,ladakh,2018,2,Samsung,2443,18.91159622
519,ladakh,2018,2,Vivo,2394,18.53228054
520,ladakh,2018,2,Oppo,1754,13.57795324
521,ladakh,2018,2,Realme,606,4.691128658
522,ladakh,2018,2,Apple,358,2.771326831
523,ladakh,2018,2,OnePlus,320,2.477163648
524,ladakh,2018,2,Motorola,265,2.051401146
525,ladakh,2018,2,Lenovo,206,1.594674098
526,ladakh,2018,2,Micromax,188,1.455333643
527,ladakh,2018,2,Others,942,7.292150488
528,ladakh,2018,4,Xiaomi,6734,28.1957878
529,ladakh,2018,4,Vivo,4711,19.72532764
530,ladakh,2018,4,Samsung,4481,18.76229954
531,ladakh,2018,4,Oppo,3307,13.84666918
532,ladakh,2018,4,Realme,1087,4.55135452
533,ladakh,2018,4,Apple,591,2.474563497
534,ladakh,2018,4,OnePlus,555,2.323828665
535,ladakh,2018,4,Motorola,486,2.034920236
536,ladakh,2018,4,Lenovo,349,1.461290458
537,ladakh,2018,4,Huawei,278,1.164007872
538,ladakh,2018,4,Others,1304,5.459950592
539,ladakh,2018,3,Xiaomi,4906,27.64099386
540,ladakh,2018,3,Vivo,3378,19.03205814
541,ladakh,2018,3,Samsung,3360,18.93064398
542,ladakh,2018,3,Oppo,2448,13.79232633
543,ladakh,2018,3,Realme,819,4.61434447
544,ladakh,2018,3,Apple,457,2.574792946
545,ladakh,2018,3,OnePlus,440,2.479012902
546,ladakh,2018,3,Motorola,364,2.050819764
547,ladakh,2018,3,Lenovo,240,1.352188856
548,ladakh,2018,3,Huawei,200,1.126824046
549,ladakh,2018,3,Others,1137,6.405994704
550,ladakh,2022,1,Xiaomi,24460,26.44553042
551,ladakh,2022,1,Vivo,20679,22.35760931
552,ladakh,2022,1,Samsung,14554,15.73541495
553,ladakh,2022,1,Oppo,13813,14.93426459
554,ladakh,2022,1,Realme,7852,8.489382866
555,ladakh,2022,1,OnePlus,2984,3.226224971
556,ladakh,2022,1,Apple,2655,2.870518531
557,ladakh,2022,1,Huawei,996,1.07684989
558,ladakh,2022,1,Motorola,921,0.995761796
559,ladakh,2022,1,Lenovo,502,0.542749643
560,ladakh,2022,1,Others,3076,3.325693033
