,State,Year,Quarter,District,Transaction_Count,Transaction_Amount
181,assam,2020,3,chirang district,102868,192241344.00140762
182,assam,2020,3,cachar district,487493,920279966.2377985
183,assam,2020,3,nalbari district,175078,305820367.27784514
184,assam,2020,3,west karbi anglong district,40408,63195580.4849911
185,assam,2020,3,dhemaji district,206214,411442432.54643184
186,assam,2020,3,karimganj district,249302,504923538.1515511
187,assam,2020,3,bongaigaon district,227984,476147034.02800435
188,assam,2020,3,dima hasao district,93676,180472116.28952006
189,assam,2020,3,baksa district,208297,442621506.6427143
190,assam,2020,3,charaideo district,130863,244390041.98398152
191,assam,2020,3,darrang district,188334,455692195.8874371
192,assam,2020,3,kamrup metropolitan district,4268591,13346088870.114107
193,assam,2020,3,hailakandi district,161126,294342674.92533815
194,assam,2020,3,barpeta district,553783,1306355860.1566281
195,assam,2020,3,goalpara district,277508,630486618.2775412
196,assam,2020,3,biswanath district,171570,332570734.95310086
197,assam,2020,3,jorhat district,315288,542788284.757088
198,assam,2019,1,tinsukia district,147896,296016100.5028683
199,assam,2019,1,lakhimpur district,84448,135217192.88448116
200,assam,2019,1,kamrup district,205094,325387078.1294668
201,assam,2019,1,kokrajhar district,60413,133213397.36930162
202,assam,2019,1,karbi anglong district,62301,127716945.67539394
203,assam,2019,1,sivasagar district,73524,126028482.89568174
204,assam,2019,1,dibrugarh district,180303,308520050.14443624
205,assam,2019,1,south salmara mancachar district,36980,56376266.78267565
206,assam,2019,1,nagaon district,265767,382986937.00269973
207,assam,2019,1,dhubri district,129363,168832530.51137578
208,assam,2019,1,golaghat district,87815,150699869.58634305
209,assam,2019,1,udalguri district,57339,103343677.3304387
210,assam,2019,1,majuli district,15485,17616797.703198176
211,assam,2019,1,sonitpur district,197716,409811805.46215415
212,assam,2019,1,hojai district,61983,111715019.69069499
213,assam,2019,1,marigaon district,162645,225891536.78995085
214,assam,2019,1,chirang district,32379,57539957.793235525
215,assam,2019,1,cachar district,206705,335675210.43395036
216,assam,2019,1,nalbari district,70290,94533334.09474775
217,assam,2019,1,west karbi anglong district,11141,12368112.989129752
218,assam,2019,1,dhemaji district,69519,134956449.74452934
219,assam,2019,1,karimganj district,76238,140750684.4913983
220,assam,2019,1,bongaigaon district,91061,138479281.39115623
221,assam,2019,1,dima hasao district,26119,51318304.483347006
222,assam,2019,1,baksa district,75377,147648364.40043023
223,assam,2019,1,charaideo district,49174,75457156.83902974
224,assam,2019,1,darrang district,76056,137391656.7613904
225,assam,2019,1,kamrup metropolitan district,1306775,2605380335.9221573
226,assam,2019,1,hailakandi district,51401,76319460.13758466
227,assam,2019,1,barpeta district,262834,416977891.5222329
