,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
196,tripura,2018,3,Recharge & bill payments,156308,33484811.21282282
197,tripura,2018,3,Merchant payments,21476,16092396.41113394
198,tripura,2018,3,Financial Services,8106,1080000.0112896338
199,tripura,2018,3,Others,5748,4338753.080712541
200,tripura,2022,1,Peer-to-peer payments,1221863,4934712034.365204
201,tripura,2022,1,Merchant payments,992891,1037265262.6570499
202,tripura,2022,1,Recharge & bill payments,641170,262348230.9954375
203,tripura,2022,1,Financial Services,4351,5782533.2422681665
204,tripura,2022,1,Others,10915,7221703.089884497
205,tripura,2022,2,Peer-to-peer payments,1443647,5354182193.788111
206,tripura,2022,2,Merchant payments,1322009,1235804019.563663
207,tripura,2022,2,Recharge & bill payments,638643,278018856.17835283
208,tripura,2022,2,Financial Services,3812,4533635.768901512
209,tripura,2022,2,Others,10553,5732336.736273008
210,tripura,2022,4,Peer-to-peer payments,2252390,8142233538.414012
211,tripura,2022,4,Merchant payments,2054988,1925282618.8109846
212,tripura,2022,4,Recharge & bill payments,874800,373875271.19878656
213,tripura,2022,4,Financial Services,5787,5028488.55453164
214,tripura,2022,4,Others,10225,6551901.175783692
215,tripura,2022,3,Peer-to-peer payments,1836678,6718925839.047781
216,tripura,2022,3,Merchant payments,1660497,1589078400.2615328
217,tripura,2022,3,Recharge & bill payments,745382,329401812.4140819
218,tripura,2022,3,Financial Services,4343,5330626.119674753
219,tripura,2022,3,Others,9679,5616127.06807068
220,ladakh,2023,1,Peer-to-peer payments,796687,3112641857.0
221,ladakh,2023,1,Merchant payments,561734,601420766.0
222,ladakh,2023,1,Recharge & bill payments,204592,129440564.0
223,ladakh,2023,1,Financial Services,1610,3389191.0
224,ladakh,2023,1,Others,2623,2128920.0
225,ladakh,2023,2,Peer-to-peer payments,1479909,5891146705.0
226,ladakh,2023,2,Merchant payments,1121362,1074373616.0
227,ladakh,2023,2,Recharge & bill payments,337017,218229701.0
228,ladakh,2023,2,Financial Services,1885,4432032.0
229,ladakh,2023,2,Others,3642,2921832.0
230,ladakh,2020,1,Peer-to-peer payments,51560,339551900.3873952
231,ladakh,2020,1,Recharge & bill payments,49801,23010664.72023286
232,ladakh,2020,1,Merchant payments,14264,13338124.271892821
233,ladakh,2020,1,Financial Services,204,583108.9455483773
234,ladakh,2020,1,Others,590,1155879.120674257
235,ladakh,2020,2,Recharge & bill payments,70601,32087339.266190995
236,ladakh,2020,2,Peer-to-peer payments,68450,470749365.09816045
237,ladakh,2020,2,Merchant payments,15132,19679330.186414924
238,ladakh,2020,2,Financial Services,337,786069.1630768818
239,ladakh,2020,2,Others,490,490894.93818109273
240,ladakh,2020,4,Peer-to-peer payments,151582,985814864.3429123
241,ladakh,2020,4,Recharge & bill payments,94133,44185250.8636451
242,ladakh,2020,4,Merchant payments,83868,77511378.30739444
243,ladakh,2020,4,Financial Services,729,1965054.5898611392
244,ladakh,2020,4,Others,1822,2486922.4041473325
245,ladakh,2020,3,Peer-to-peer payments,108345,751333715.2896031
246,ladakh,2020,3,Recharge & bill payments,81623,40380074.55014179
247,ladakh,2020,3,Merchant payments,36861,40538778.75651745
248,ladakh,2020,3,Financial Services,621,2334917.7832646337
249,ladakh,2020,3,Others,772,900013.678666259
250,ladakh,2019,1,Peer-to-peer payments,22076,139715922.1887053
251,ladakh,2019,1,Recharge & bill payments,20014,7186109.182288248
252,ladakh,2019,1,Merchant payments,3238,4967122.4999400275
253,ladakh,2019,1,Financial Services,114,111851.02856430915
254,ladakh,2019,1,Others,703,878916.0496292994
255,ladakh,2019,2,Peer-to-peer payments,34202,240305709.92824298
