,State,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
172,assam,2018,3,781032,33634,64706017.19869007
173,assam,2018,3,781022,28483,65165029.42699838
174,assam,2018,3,781001,23772,46640754.80828482
175,assam,2018,3,781039,23417,24795434.492356982
176,assam,2018,3,781038,20581,41002558.83435511
177,assam,2018,3,783380,20313,31377434.881334245
178,assam,2018,3,781308,20256,36590779.6446363
179,assam,2018,3,781136,20134,24505351.774850026
180,assam,2022,1,781009,21143287,46189827357.81514
181,assam,2022,1,786001,737669,1585322411.8476655
182,assam,2022,1,781022,642641,1105531337.2939954
183,assam,2022,1,781032,607413,955576175.5206772
184,assam,2022,1,781001,441260,881518668.7427199
185,assam,2022,1,781038,429897,775937821.390959
186,assam,2022,1,781028,382727,817368217.3828207
187,assam,2022,1,781319,368895,924024506.300522
188,assam,2022,1,781316,362610,1037947224.1412314
189,assam,2022,1,781005,328830,517855589.3922645
190,assam,2022,2,781009,27909097,54262481044.38667
191,assam,2022,2,786001,1010236,1941254752.2972517
192,assam,2022,2,781022,811780,1259138761.603972
193,assam,2022,2,781032,753818,1091880235.144574
194,assam,2022,2,781001,557255,1059437471.6575356
195,assam,2022,2,781038,548977,903984431.7288729
196,assam,2022,2,781319,492658,1098052924.3591151
197,assam,2022,2,781316,486936,1132618346.6611218
198,assam,2022,2,781028,483936,902088623.5927126
199,assam,2022,2,784115,480261,916458107.4299153
200,assam,2022,4,781013,35940014,65266942297.03035
201,assam,2022,4,781301,1464765,2697007904.954568
202,assam,2022,4,785001,1165321,1892213052.0515342
203,assam,2022,4,783380,1025231,1980825353.213442
204,assam,2022,4,781022,1021760,1404907163.957292
205,assam,2022,4,786001,1016397,1720962331.638275
206,assam,2022,4,781032,945052,1228668811.6378405
207,assam,2022,4,781103,813992,1537206912.0077815
208,assam,2022,4,781001,753829,1316233723.5341868
209,assam,2022,4,781038,712469,1030362512.4909468
210,assam,2022,3,781013,23740033,43477837025.4255
211,assam,2022,3,781009,4453845,8402332124.458529
212,assam,2022,3,785001,1305456,2167988132.8763847
213,assam,2022,3,781022,917155,1321082161.5434377
214,assam,2022,3,781032,854723,1185465367.2670166
215,assam,2022,3,788151,782629,1483869240.8816051
216,assam,2022,3,786001,773303,1335823069.7053273
217,assam,2022,3,781301,672975,1289345107.4433177
218,assam,2022,3,784001,652030,1117819634.0792766
219,assam,2022,3,781001,640733,1147070060.5891519
220,tripura,2023,1,799001,556403,970341648.0
221,tripura,2023,1,799003,377791,611687294.0
222,tripura,2023,1,799006,271648,433804132.0
223,tripura,2023,1,799002,215423,355559463.0
224,tripura,2023,1,799045,211666,316003121.0
225,tripura,2023,1,799250,201161,365656037.0
226,tripura,2023,1,799102,186758,366117087.0
227,tripura,2023,1,799114,182237,347592464.0
228,tripura,2023,1,799007,181490,304711788.0
229,tripura,2023,1,799260,156363,278211862.0
230,tripura,2023,2,799001,652112,1107454735.0
231,tripura,2023,2,799003,422391,657830777.0
232,tripura,2023,2,799006,311834,464541144.0
233,tripura,2023,2,799002,249273,417920650.0
234,tripura,2023,2,799250,241305,410806809.0
235,tripura,2023,2,799045,209282,306128194.0
236,tripura,2023,2,799007,207324,353556509.0
237,tripura,2023,2,799114,200819,354514516.0
238,tripura,2023,2,799102,198279,388761300.0
239,tripura,2023,2,799260,180805,308295328.0
240,tripura,2020,1,799001,87118,229108279.45874107
241,tripura,2020,1,799045,54606,46338875.951909564
242,tripura,2020,1,799003,45792,72550846.1694471
243,tripura,2020,1,799002,38687,84034432.02631971
244,tripura,2020,1,799046,37709,23786160.00425904
245,tripura,2020,1,799006,31839,54089101.86975972
246,tripura,2020,1,799102,27466,49153186.04571221
247,tripura,2020,1,799114,26389,51799357.56879772
248,tripura,2020,1,799004,23837,37342590.53011496
249,tripura,2020,1,799007,21313,36370038.2215394
250,tripura,2020,2,799001,86161,231777951.65221855
251,tripura,2020,2,799003,49958,73583848.18567409
252,tripura,2020,2,799002,37405,75110381.30976826
253,tripura,2020,2,799006,35153,60239811.171632275
254,tripura,2020,2,799102,34738,53712524.49111782
255,tripura,2020,2,799004,28839,37829268.41849456
256,tripura,2020,2,799114,28177,46398057.28751227
257,tripura,2020,2,799155,24496,40208843.98148832
258,tripura,2020,2,799205,23969,37261173.21177393
259,tripura,2020,2,799007,23094,40747758.57995502
260,tripura,2020,4,799001,141329,295115359.2662865
261,tripura,2020,4,799003,82681,147151146.0687793
262,tripura,2020,4,799006,61696,108145630.55170871
263,tripura,2020,4,799002,55560,100535797.21030375
264,tripura,2020,4,799102,52786,111685943.64403538
265,tripura,2020,4,799114,47263,92896210.52195582
266,tripura,2020,4,799007,46192,84813177.69154394
267,tripura,2020,4,799004,43651,71000220.55746494
268,tripura,2020,4,799155,38763,70106158.70082445
269,tripura,2020,4,799144,36082,72546534.16628619
270,tripura,2020,3,799001,96924,210455496.0266828
271,tripura,2020,3,799003,65038,109358598.05519056
272,tripura,2020,3,799006,45446,78785790.52682589
273,tripura,2020,3,799102,45289,91839429.53746599
274,tripura,2020,3,799114,37844,71003467.59346402
275,tripura,2020,3,799002,37641,64303225.30132322
276,tripura,2020,3,799004,36340,54457731.927102
277,tripura,2020,3,799007,34436,58279661.01278485
278,tripura,2020,3,799155,33249,56454838.99751498
279,tripura,2020,3,799144,29882,54323214.01146464
280,tripura,2019,1,799001,37656,58808386.11254738
281,tripura,2019,1,799045,32057,22042038.32010384
282,tripura,2019,1,799003,30432,34298575.86055405
283,tripura,2019,1,799046,29193,18324221.165856857
284,tripura,2019,1,799155,20066,15448784.364964338
285,tripura,2019,1,799002,18906,33534058.550350398
286,tripura,2019,1,799006,17707,34357490.78914949
287,tripura,2019,1,799102,17392,28991024.254894234
288,tripura,2019,1,799114,16687,21899544.30922909
289,tripura,2019,1,799105,16021,9117566.43136074
290,tripura,2019,2,799001,37761,70792093.22384417
